ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.78,RandomForestClassifier_TFidf,0.4985353535353535,0.4478884307482066,0.5,0.5,7.443,0.02
0.96,RandomForestClassifier_TFidf,0.49383838383838385,0.49406408876585045,0.5,0.49,8.014,0.1
0.95,RandomForestClassifier_TFidf,0.5047979797979798,0.4972054271341471,0.5,0.5,7.93,0.14
0.99,RandomForestClassifier_TFidf,0.49934343434343437,0.49715894805651933,0.49,0.5,7.145,0.22
0.98,RandomForestClassifier_TFidf,0.4968181818181818,0.4958915158542118,0.49,0.5,6.247,0.25
0.99,RandomForestClassifier_TFidf,0.4998989898989899,0.497436928334506,0.49,0.5,6.249,0.3
