ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.97,RandomForestClassifier_LSA_1000,0.5010939426162402,0.4945731004289541,0.5,0.5,21.647,0.07
1.0,RandomForestClassifier_LSA_1000,0.4999074657858664,0.499910639054587,0.5,0.5,20.139,0.1
1.0,RandomForestClassifier_LSA_1000,0.49995765383421004,0.49966573899113526,0.5,0.5,20.247,0.25
1.0,RandomForestClassifier_LSA_1000,0.5,0.49968691296180334,0.5,0.5,20.303,0.5
1.0,RandomForestClassifier_LSA_1000,0.5,0.49968691296180334,0.5,0.5,20.079,0.7
