ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.0,FeedForwardClassifier_TFidf_1000,0.5000031367530215,0.0012562812890131215,0.5,0.5,331.411,0.07
0.0,FeedForwardClassifier_TFidf_1000,0.5000407777892792,0.0025814429729144796,0.5,0.5,320.558,0.1
0.08,FeedForwardClassifier_TFidf_1000,0.5006453869341689,0.0765096420893749,0.5,0.5,360.956,0.25
0.68,FeedForwardClassifier_TFidf_1000,0.4961041527473251,0.40685568860293,0.5,0.5,379.727,0.5
0.98,FeedForwardClassifier_TFidf_1000,0.49849435854969093,0.49489909538973514,0.5,0.5,391.159,0.7
