ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.99,RandomForestClassifier_TFidf_1000,0.4991099463301558,0.4976852612996784,0.5,0.5,63.052,0.02
1.0,RandomForestClassifier_TFidf_1000,0.4999027606563342,0.49963828858379206,0.5,0.5,62.051,0.1
1.0,RandomForestClassifier_TFidf_1000,0.4998902136442483,0.49963201378204397,0.5,0.5,61.918,0.14
1.0,RandomForestClassifier_TFidf_1000,0.5,0.49968691296180334,0.5,0.5,67.041,0.22
1.0,RandomForestClassifier_TFidf_1000,0.4999976474352339,0.49968573667711597,0.5,0.5,57.731,0.25
1.0,RandomForestClassifier_TFidf_1000,0.5,0.49968691296180334,0.5,0.5,59.064,0.3
