ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.92,Word2Vector_1000,0.7972708680336635,0.49128167870979755,0.51,0.8,11.163,0.498989
0.93,Word2Vector_1000,0.7980268255118397,0.4919068456471819,0.51,0.8,10.391,0.50123
0.93,Word2Vector_1000,0.7971422611597831,0.4942248743906944,0.51,0.8,10.882,0.51
0.95,Word2Vector_1000,0.7905017550133155,0.5017125416843848,0.51,0.79,10.633,0.54
0.97,Word2Vector_1000,0.7539781870194886,0.5154780474623404,0.51,0.75,10.961,0.6
0.97,Word2Vector_1000,0.7497678802764107,0.5180941491051942,0.51,0.75,10.33,0.61
0.98,Word2Vector_1000,0.7411614141737322,0.52066742394339,0.51,0.74,10.635,0.62
1.0,Word2Vector_1000,0.6009618853140359,0.570440037361488,0.55,0.6,10.365,0.8
