ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
1.0,SVM_LSA_1000,0.5,0.49968691296180334,0.5,0.5,12.463,0.07
1.0,SVM_LSA_1000,0.5,0.49968691296180334,0.5,0.5,11.683,0.1
1.0,SVM_LSA_1000,0.5,0.49968691296180334,0.5,0.5,11.855,0.25
1.0,SVM_LSA_1000,0.5,0.49968691296180334,0.5,0.5,11.801,0.5
1.0,SVM_LSA_1000,0.5,0.49968691296180334,0.5,0.5,12.013,0.7
