ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.0,FeedForwardClassifier_LSA_1000,0.5,0.0024999960839660338,0.5,0.5,23.788,0.07
0.0,FeedForwardClassifier_LSA_1000,0.5000031367530215,0.0012562812890131215,0.5,0.5,26.171,0.1
0.07,FeedForwardClassifier_LSA_1000,0.5026293832202534,0.06257970353814457,0.5,0.5,22.864,0.25
0.62,FeedForwardClassifier_LSA_1000,0.5005481475905031,0.3830665395661,0.5,0.5,22.72,0.5
0.97,FeedForwardClassifier_LSA_1000,0.49942519000881425,0.49325362915009485,0.5,0.5,23.222,0.7
