ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.92,Word2Vector_ALL,0.7984871440177415,0.4912936548163574,0.51,0.8,10.587,0.498989
0.93,Word2Vector_ALL,0.7986149667033666,0.49189640601650503,0.51,0.8,10.449,0.50123
0.93,Word2Vector_ALL,0.7983718683442023,0.49425076508350985,0.51,0.8,10.382,0.51
0.95,Word2Vector_ALL,0.7898704834677432,0.5016770738506786,0.51,0.79,10.524,0.54
0.97,Word2Vector_ALL,0.7539774028312333,0.5154764457831504,0.51,0.75,10.468,0.6
0.97,Word2Vector_ALL,0.7485084739382876,0.5179607781911029,0.51,0.75,12.072,0.61
0.98,Word2Vector_ALL,0.7411551406676893,0.5206503901908557,0.51,0.74,11.694,0.62
1.0,Word2Vector_ALL,0.6009556118079931,0.570188883134167,0.55,0.6,11.801,0.8
