ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.99,SVM_TFidf,0.4996969696969697,0.49733588016487384,0.49,0.5,27.601,0.07
0.99,SVM_TFidf,0.4998989898989899,0.497436928334506,0.49,0.5,25.571,0.1
0.99,SVM_TFidf,0.5,0.49748743718592964,0.5,0.5,23.406,0.25
0.99,SVM_TFidf,0.5,0.49748743718592964,0.5,0.5,23.145,0.5
0.99,SVM_TFidf,0.5,0.49748743718592964,0.5,0.5,23.62,0.7
