ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.01,FeedForwardClassifier_TFidf,0.5,0.009900990099009901,0.0,0.5,67.095,0.07
0.01,FeedForwardClassifier_TFidf,0.5,0.009900990099009901,0.0,0.5,62.802,0.1
0.06,FeedForwardClassifier_TFidf,0.5007575757575757,0.05887915462405127,0.5,0.5,60.909,0.25
0.56,FeedForwardClassifier_TFidf,0.5014141414141414,0.36867464993700566,0.5,0.5,61.776,0.5
0.93,FeedForwardClassifier_TFidf,0.4959090909090909,0.4899758205973607,0.5,0.5,66.474,0.7
