ACCURACY,ALG_NAME,AUC,Average F-Score,PRESCISION,RECALL,RUNTIME,THRESHOLD
0.93,Word2Vector,0.7312121212121212,0.5458096627852423,0.53,0.73,0.426,0.498989
0.93,Word2Vector,0.732020202020202,0.5475219587593414,0.54,0.73,0.43,0.50123
0.94,Word2Vector,0.7302525252525253,0.5536377159733021,0.54,0.73,0.419,0.51
0.96,Word2Vector,0.7397979797979798,0.5826850046798896,0.56,0.74,0.377,0.54
0.97,Word2Vector,0.6948484848484848,0.6132699572038585,0.58,0.69,0.409,0.6
0.98,Word2Vector,0.6861111111111111,0.6177897117698997,0.59,0.69,0.423,0.61
0.98,Word2Vector,0.6723737373737372,0.6199822858719488,0.59,0.67,0.432,0.62
0.99,Word2Vector,0.5488888888888889,0.5729389729792387,0.65,0.55,0.421,0.8
